date,Gov_RD_real
1947-01-01,14.851050660497053
1947-04-01,14.938861750876933
1947-07-01,15.33401165758639
1947-10-01,15.860878199865663
1948-01-01,15.383139488459138
1948-04-01,16.16809756706176
1948-07-01,16.54528521522146
1948-10-01,16.92247286338116
1949-01-01,17.30629243638655
1949-04-01,17.53278763781457
1949-07-01,17.872530439956602
1949-10-01,18.22256847852718
1950-01-01,18.499313703896103
1950-04-01,18.92716126753247
1950-07-01,19.35500883116883
1950-10-01,19.945845942857144
1951-01-01,18.92200737936345
1951-04-01,19.507126809548257
1951-07-01,20.15830811088296
1951-10-01,20.818926822381933
1952-01-01,20.953693513174404
1952-04-01,21.553424943538268
1952-07-01,22.263876022584693
1952-10-01,22.909740639899624
1953-01-01,23.45139957661416
1953-04-01,24.138184023410748
1953-07-01,24.93485398169479
1953-10-01,25.777309569765272
1954-01-01,26.59697431602457
1954-04-01,27.36340513679509
1954-07-01,28.120711781127866
1954-10-01,28.941887660524852
1955-01-01,29.839889360908103
1955-04-01,31.46818497900793
1955-07-01,33.54471927849479
1955-10-01,36.35307183330742
1956-01-01,39.09735917128934
1956-04-01,42.29762721505409
1956-07-01,45.39873202365993
1956-10-01,47.94993161911184
1957-01-01,48.56499774721367
1957-04-01,50.65756497510078
1957-07-01,52.261866516480914
1957-10-01,53.57844006402656
1958-01-01,53.105188458320114
1958-04-01,53.8775349741755
1958-07-01,54.99786178838331
1958-10-01,56.22003649479182
1959-01-01,57.071568679245274
1959-04-01,58.28245801029159
1959-07-01,59.56061897084047
1959-10-01,60.67900981132075
1960-01-01,61.54330870373501
1960-04-01,63.896337738718955
1960-07-01,65.62796826094306
1960-10-01,67.19389251309786
1961-01-01,68.52348605986288
1961-04-01,70.93357158463854
1961-07-01,73.00755674711554
1961-10-01,74.63067556992362
1962-01-01,75.33500632437197
1962-04-01,77.58744037020715
1962-07-01,80.56097740193918
1962-10-01,84.18269689290437
1963-01-01,87.41937731229598
1963-04-01,91.31624108813928
1963-07-01,94.79701263329706
1963-10-01,97.50961390642001
1964-01-01,98.51171199054933
1964-04-01,100.43077131504056
1964-07-01,101.84439937711434
1964-10-01,103.04479862535575
1965-01-01,102.5628661627108
1965-04-01,104.40545252418461
1965-07-01,106.90110746947191
1965-10-01,110.08870412856162
1966-01-01,110.66019470807136
1966-04-01,113.58164196586681
1966-07-01,115.82368288464006
1966-10-01,117.31082787116642
1967-01-01,114.87453366292137
1967-04-01,115.82931208988765
1967-07-01,116.85753501123597
1967-10-01,118.44393608988764
1968-01-01,115.1640105197605
1968-04-01,116.70695180838325
1968-07-01,118.17943915688625
1968-10-01,119.56738177724552
1969-01-01,114.56427655611087
1969-04-01,115.14561759200365
1969-07-01,115.11888926851434
1969-10-01,114.4373170195366
1970-01-01,106.88558790817422
1970-04-01,106.06518722162625
1970-07-01,105.79382391761425
1970-10-01,106.14722729028105
1971-01-01,102.4422115850144
1971-04-01,103.42915410456978
1971-07-01,104.76727862494855
1971-10-01,106.60795669822971
1972-01-01,105.1699541080327
1972-04-01,107.0519674466813
1972-07-01,108.50012101255733
1972-10-01,109.88378190950769
1973-01-01,104.32747029825549
1973-04-01,105.29857431626336
1973-07-01,106.31933706246481
1973-10-01,107.2794058075408
1974-01-01,97.5977551064549
1974-04-01,98.81052004055425
1974-07-01,100.0630477593782
1974-10-01,101.6784108888138
1975-01-01,94.75127777055273
1975-04-01,96.57289226196008
1975-07-01,98.69962718067814
1975-10-01,100.99030740362286
1976-01-01,97.874748706089
1976-04-01,100.22980468384075
1976-07-01,102.57194444964871
1976-10-01,104.87103017564402
1977-01-01,100.62968520758868
1977-04-01,102.86185664558703
1977-07-01,105.39326845751994
1977-10-01,107.95703058014847
1978-01-01,102.90385595606081
1978-04-01,105.59019926938308
1978-07-01,108.50948424064379
1978-10-01,111.51142592923748
1979-01-01,103.08590390355913
1979-04-01,106.0172246107922
1979-07-01,109.00933307462688
1979-10-01,112.03858961194031
1980-01-01,101.38577473194417
1980-04-01,104.3432937365972
1980-07-01,107.58049763706249
1980-10-01,111.09143569087598
1981-01-01,104.03715170454545
1981-04-01,107.20449600439885
1981-07-01,110.1022790872434
1981-10-01,112.71163166788858
1982-01-01,108.41779699930939
1982-04-01,110.83007203383977
1982-07-01,113.46833915055248
1982-10-01,116.29450979627072
1983-01-01,115.674138316318
1983-04-01,118.67220403682009
1983-07-01,121.68011562175732
1983-10-01,124.7544867916318
1984-01-01,122.5612861481719
1984-04-01,126.18857381334189
1984-07-01,130.4880181654907
1984-10-01,135.43839320397691
1985-01-01,136.24718185873604
1985-04-01,140.48440360594793
1985-07-01,143.52563534386616
1985-10-01,145.32531554832713
1986-01-01,143.1530476122465
1986-04-01,144.63684623566058
1986-07-01,147.01226481501178
1986-10-01,150.29047653270533
1987-01-01,149.14158376705296
1987-04-01,152.3259633709843
1987-07-01,154.5826443098137
1987-10-01,155.99145181751504
1988-01-01,150.36782206721628
1988-04-01,150.6828370069753
1988-07-01,150.82169227647435
1988-10-01,150.77402554216872
1989-01-01,143.67884512068852
1989-04-01,143.912215211457
1989-07-01,144.65781287433606
1989-10-01,145.83652960398038
1990-01-01,139.8779648702086
1990-04-01,140.8103595662989
1990-07-01,141.1292873295491
1990-10-01,140.80473142930035
1991-01-01,134.19609684455327
1991-04-01,133.44183222521423
1991-07-01,132.89098503304777
1991-10-01,132.4787497160343
1992-01-01,128.35156915602542
1992-04-01,128.08951665261034
1992-07-01,127.81174099899032
1992-10-01,127.53047131199143
1993-01-01,123.56236157120611
1993-04-01,123.42323769510296
1993-07-01,123.440204021457
1993-10-01,123.62683361135146
1994-01-01,120.84146961038961
1994-04-01,121.34254340360938
1994-07-01,122.04867709900489
1994-10-01,122.88876121437006
1995-01-01,120.52135494257904
1995-04-01,121.27738821393417
1995-07-01,121.7905256895986
1995-10-01,122.11385055671006
1996-01-01,118.70820789884716
1996-04-01,118.93792337671998
1996-07-01,119.32234519683367
1996-10-01,119.83490762365193
1997-01-01,117.75428073508799
1997-04-01,118.34370111197633
1997-07-01,118.89341959819343
1997-10-01,119.37595026942844
1998-01-01,117.98589378048159
1998-04-01,118.50167417821177
1998-07-01,119.1287308133531
1998-10-01,119.85653755533973
1999-01-01,118.08627536368185
1999-04-01,119.15308511855928
1999-07-01,120.42442805402702
1999-10-01,121.97829164182092
2000-01-01,119.72363042926969
2000-04-01,121.5286738092242
2000-07-01,123.36503497652808
2000-10-01,125.28823182693702
2001-01-01,123.77774008001884
2001-04-01,125.90023756931045
2001-07-01,128.21933952271124
2001-10-01,130.75442947893623
2002-01-01,132.8832012676056
2002-04-01,136.2424855429948
2002-07-01,139.3987136897702
2002-10-01,142.38186714974054
2003-01-01,141.8571178532609
2003-04-01,144.44154578804347
2003-07-01,146.95137167934783
2003-10-01,149.3652806576087
2004-01-01,147.70710969517845
2004-04-01,149.9531961621598
2004-07-01,152.24080473598306
2004-10-01,154.52062791477348
2005-01-01,151.71349622908846
2005-04-01,153.7132115909867
2005-07-01,155.48194915841586
2005-10-01,157.01970893137593
2006-01-01,153.37579829495184
2006-04-01,154.78407605407864
2006-07-01,156.27261834869972
2006-10-01,157.911960679704
2007-01-01,155.25870135885182
2007-04-01,156.95396734897292
2007-07-01,158.61140313568828
2007-10-01,160.2144580050078
2008-01-01,155.8164428855644
2008-04-01,156.99960521104697
2008-07-01,157.88099851222452
2008-10-01,158.46973279737801
2009-01-01,159.27720343206556
2009-04-01,159.95122582469313
2009-07-01,161.01937995538256
2009-10-01,162.51251091667783
2010-01-01,161.72672778547553
2010-04-01,163.2081802657634
2010-07-01,164.32769974252113
2010-10-01,165.06280590497047
2011-01-01,160.42613270763772
2011-04-01,160.66043962600534
2011-07-01,160.78140738386026
2011-10-01,160.74762359563053
2012-01-01,157.3257596043314
2012-04-01,157.14105357866856
2012-07-01,156.93499425524124
2012-10-01,156.71505528826697
2013-01-01,152.38951286693492
2013-04-01,151.30991528503222
2013-07-01,150.25031025094253
2013-10-01,149.20333208915582
2014-01-01,145.79788588809328
2014-04-01,145.52140443571386
2014-07-01,146.00498809961346
2014-10-01,147.24967239084975
2015-01-01,148.98592593092667
2015-04-01,150.3408041543997
2015-07-01,151.13201166658052
2015-10-01,151.35747995109742
2016-01-01,149.07514230685766
2016-04-01,149.20689187084318
2016-07-01,149.85849048962436
2016-10-01,151.0278955343022
2017-01-01,149.574
2017-04-01,151.425
2017-07-01,153.431
2017-10-01,155.592
2018-01-01,154.94196619666707
2018-04-01,156.30082366950154
2018-07-01,156.89532381386664
2018-10-01,156.6912999547988
2019-01-01,153.4337444767981
2019-04-01,154.86619929194273
2019-07-01,158.29392751426008
2019-10-01,163.7073410927786
2020-01-01,169.07339005218157
2020-04-01,173.02781368773924
2020-07-01,178.83539993220163
2020-10-01,182.4053657143023
2021-01-01,175.9996242531788
2021-04-01,178.40318001362402
2021-07-01,181.73577294605911
2021-10-01,185.7323515496146
2022-01-01,176.22635602341444
2022-04-01,180.45989645921048
2022-07-01,184.92881973284958
2022-10-01,189.41030792665822
2023-01-01,186.37146703715354
2023-04-01,189.927161177645
2023-07-01,192.8046991732418
2023-10-01,194.85847454443518
2024-01-01,190.54636374069102
2024-04-01,192.12243155010634
2024-07-01,194.1946833253019
2024-10-01,196.72951920717762
